
// 去除了所有无效内容，只留下需要的

10 路
11 墙

24 机关门

31 神秘六芒星

41 老人


// 怪物
// 编号，图标，名称，生命，攻击，防御，点数，特效（0普通，1魔攻，2坚固）

51, 0, 绿色史莱姆, 100, 14, 3, 3, 0
52, 1, 红色史莱姆, 100, 18, 7, 5, 0
53, 4, 小蝙蝠, 100, 20, 4, 6, 0
54, 2, 青头怪, 124, 24, 8, 9, 0
55, 12, 骷髅人, 137, 27, 11, 11, 0
56, 8, 初级法师, 144, 35, 5, 15, 1
57, 13, 骷髅士兵, 156, 48, 13, 17, 0
58, 18, 石头人, 95, 19, 19, 19, 2
59, 3, 史莱姆王, 171, 60, 5, 19, 0
60, 20, 初级卫兵, 187, 25, 60, 23, 0
61, 5, 大蝙蝠, 195, 80, 5, 27, 0
62, 29, 魔法警卫, 200, 130, 0, 30, 0
63, 14, 骷髅队长, 212, 40, 40, 34, 0
64, 16, 兽面人, 286, 80, 16, 37, 0
65, 34, 铁面人, 180, 38, 38, 38, 2
66, 19, 影子战士, 317, 89, 28, 40, 0
67, 6, 红蝙蝠, 344, 86, 38, 43, 0
68, 21, 中级卫兵, 374, 50, 120, 46, 0
69, 9, 高级法师, 400, 85, 55, 47, 1
70, 10, 初级巫师, 433, 94, 49, 49, 0
71, 17, 兽面武士, 451, 110, 30, 52, 0
72, 25, 初级骑士, 477, 68, 68, 55, 0
73, 38, 青衣警卫, 489, 126, 29, 58, 0
74, 23, 双手剑士, 500, 300, 0, 60, 0
75, 15, 冥队长, 544, 105, 50, 64, 0
76, 35, 绿兽人, 578, 121, 43, 69, 0
77, 32, 紫骷髅, 614, 134, 66, 75, 0
78, 39, 近卫骑士, 666, 157, 70, 79, 0
79, 26, 高级骑士, 689, 188, 81, 81, 0
80, 24, 冥战士, 722, 193, 88, 87, 0
81, 22, 高级卫兵, 748, 100, 240, 92, 0
82, 33, 紫蝙蝠, 811, 224, 100, 97, 0
83, 11, 高级巫师, 836, 150, 150, 102, 0
84, 28, 红衣警卫, 875, 268, 133, 106, 0
85, 27, 灵武士, 948, 299, 127, 114, 0
86, 30, 灵法师, 1000, 600, 0, 120, 0

// boss
99, 7, 冥灵魔王, 4000, 400, 400, 0, 0
